km_driven,owner,engine,max_power,seats,car_age,log_price,mileage_per_cc,fuel_Diesel,fuel_LPG,fuel_Petrol,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Manual
2388,0,1197.0,81.83,5,7,13.500801182986649,0.015538847117794487,False,False,True,True,False,True
16200,0,1248.0,88.5,5,8,13.384729180332174,0.019471153846153846,True,False,False,True,False,True
10000,1,796.0,40.3,4,6,12.706850963741102,0.04201005025125628,False,False,False,True,False,True
15000,0,998.0,67.1,5,6,12.810391344620207,0.02399799599198397,False,False,True,True,False,True
5000,0,1591.0,121.3,5,6,13.954403427152533,0.010685103708359522,False,False,True,True,False,True
42000,0,1198.0,67.0,5,9,11.918397239722838,0.017220367278797995,False,False,True,True,False,True
60000,1,2179.0,138.03,7,14,12.959846800844963,0.006392840752638825,True,False,False,True,False,True
76000,0,796.0,37.0,4,13,11.918397239722838,0.020226130653266332,False,False,True,True,False,True
5000,0,1368.0,160.77,5,6,14.557448378884015,0.011695906432748537,False,False,True,True,False,False
28900,0,1497.0,117.3,5,7,13.73755009757506,0.011890447561790248,False,False,True,False,False,True
86300,0,1497.0,116.3,5,12,12.959846800844963,0.011222444889779559,False,False,True,False,False,True
23300,0,1197.0,83.14,5,7,13.42246945133505,0.015455304928989139,False,False,True,False,False,False
32600,0,1248.0,88.5,5,7,13.617059619240436,0.019471153846153846,True,False,False,False,False,True
10300,0,998.0,67.05,5,7,12.873904582205107,0.02399799599198397,False,False,True,False,False,True
77000,0,2982.0,168.5,7,11,14.220976332738882,0.004208584842387659,True,False,False,False,False,True
99000,0,2494.0,100.0,7,12,13.45883704259595,0.00520850040096231,True,False,False,False,False,True
27800,1,2143.0,120.7,5,11,14.187074804051692,0.006906206252916472,True,False,False,False,False,False
49800,0,1498.0,98.63,5,10,12.959846800844963,0.016488651535380507,True,False,False,False,False,True
151000,0,2477.0,175.56,7,12,13.901689171636098,0.005450141299959629,True,False,False,False,False,True
54700,0,1498.0,98.6,5,10,13.304686600863562,0.017356475300400534,True,False,False,False,False,True
64000,0,1462.0,103.25,5,7,13.652992804936396,0.014124487004103967,False,False,True,False,False,True
63000,0,1498.0,98.6,5,10,13.171155446333852,0.01822429906542056,True,False,False,False,False,True
127700,1,2755.0,171.5,7,9,14.316286451937186,0.004123411978221416,True,False,False,False,False,False
99000,0,2494.0,100.6,7,9,13.76421831620775,0.00520850040096231,True,False,False,False,False,True
33900,1,1968.0,174.33,5,12,14.375126917328105,0.008983739837398374,True,False,False,False,False,False
25000,0,1798.0,138.03,5,7,14.279245203127035,0.007942157953281423,False,False,True,False,False,False
50000,0,1968.0,187.74,5,12,14.340239086899256,0.009415650406504066,True,False,False,False,False,False
59000,0,2143.0,170.0,5,12,14.169683073439028,0.006924871675221652,True,False,False,False,False,False
120000,0,1248.0,88.8,5,14,12.487488878546145,0.016923076923076923,True,False,False,True,False,True
110000,2,1197.0,78.9,5,14,12.154784614286667,0.01700918964076859,False,False,True,True,False,True
60000,0,1396.0,88.76,5,12,12.959846800844963,0.015236389684813754,True,False,False,True,False,True
147000,1,1248.0,74.0,5,10,13.353476685668044,0.021306089743589742,True,False,False,True,False,True
25000,2,1196.0,86.8,5,8,13.304686600863562,0.015183946488294315,False,False,True,True,False,True
30000,0,1197.0,83.1,5,6,13.384729180332174,0.017878028404344194,False,False,True,True,False,True
40000,0,1498.0,108.495,5,9,13.199326270390594,0.014686248331108143,True,False,False,True,False,True
135000,0,1498.0,98.6,5,10,13.353476685668044,0.016755674232309746,True,False,False,True,False,True
30000,0,998.0,67.0,5,7,13.012550743537489,0.020551102204408818,False,False,True,True,False,False
80000,0,1498.0,108.62,5,8,13.122365377402328,0.014459279038718291,True,False,False,True,False,True
70000,0,1248.0,88.5,5,9,13.521140839642674,0.019471153846153846,True,False,False,True,False,True
9850,0,1248.0,88.5,5,6,13.840204146163925,0.019471153846153846,True,False,False,True,False,False
60000,1,1197.0,78.9,5,14,12.367345048436391,0.01700918964076859,False,False,True,True,False,True
70000,0,1248.0,74.0,5,9,13.353476685668044,0.020192307692307693,True,False,False,True,False,True
78000,1,2982.0,168.5,7,10,14.346139397261565,0.004208584842387659,True,False,False,True,False,True
120000,1,1248.0,74.0,5,12,13.017005083966255,0.01834935897435897,True,False,False,True,False,True
120000,1,1373.0,93.7,7,13,13.017005083966255,0.011667880553532411,False,False,True,True,False,True
170000,0,1598.0,103.6,5,12,13.017005083966255,0.012853566958698373,True,False,False,True,False,True
140000,0,2494.0,100.6,8,9,13.997832948091215,0.00520850040096231,True,False,False,True,False,True
90000,0,1498.0,98.59,5,10,13.321215875492413,0.01520026702269693,True,False,False,True,False,True
30000,1,1998.0,189.0,5,9,14.731801689838349,0.007862862862862863,False,False,True,True,False,False
10000,0,998.0,67.04,5,8,13.091904169919621,0.02314629258517034,False,False,True,False,False,True
49000,0,1198.0,67.05,5,9,12.524530013005734,0.015876460767946576,False,False,True,False,False,True
32000,0,796.0,47.3,5,9,12.660331092405906,0.031030150753768842,False,False,True,False,False,True
38000,0,796.0,47.3,5,9,12.524530013005734,0.031030150753768842,False,False,True,False,False,True
28000,0,1086.0,68.05,5,13,12.577639650232573,0.018241252302025782,False,False,True,False,False,True
32000,0,796.0,35.0,5,8,12.54254845357358,0.017587939698492462,False,False,True,False,False,True
44000,0,998.0,58.2,5,15,12.323860125621126,0.02625250501002004,False,True,False,False,False,True
42000,0,1198.0,74.0,5,10,13.02805489573287,0.013747913188647745,False,False,True,False,False,True
45000,1,1086.0,68.05,5,10,12.768544351446794,0.018241252302025782,False,False,True,False,False,True
12000,1,1598.0,103.6,5,13,13.190023895035274,0.009411764705882352,False,False,True,False,False,True
55500,0,998.0,67.1,5,16,12.07254696717504,0.01823647294589178,False,False,True,False,False,True
61500,0,1197.0,82.85,5,12,13.171155446333852,0.015455304928989139,False,False,True,False,False,True
150000,0,1248.0,74.0,5,9,13.304686600863562,0.021306089743589742,True,False,False,True,False,True
72000,0,1197.0,82.0,5,9,13.244582780038517,0.01595655806182122,False,False,True,False,False,False
68000,2,796.0,46.3,5,17,11.695255355062795,0.024748743718592963,False,False,True,False,False,True
110000,0,1396.0,88.73,5,8,13.493928313146206,0.01614613180515759,True,False,False,True,False,True
77000,1,998.0,67.05,5,16,12.128116509451258,0.02183366733466934,False,False,True,False,False,True
100000,1,1248.0,90.0,5,15,12.206077645517674,0.015064102564102564,True,False,False,True,False,True
10000,0,1197.0,81.8,5,6,13.329379172803593,0.017719298245614037,False,False,True,True,False,True
100000,2,1196.0,73.0,7,9,12.506180941677357,0.012851170568561871,False,False,True,True,False,True
35000,0,1197.0,83.1,5,7,13.321215875492413,0.017878028404344194,False,False,True,True,False,True
70000,1,2179.0,120.0,8,11,13.345508528717259,0.005410738871041762,True,False,False,True,False,False
5000,1,1194.0,94.68,5,5,12.899222326086994,0.015912897822445562,False,False,True,True,False,True
37800,0,1591.0,121.3,5,8,13.671641342278317,0.010685103708359522,False,False,True,True,False,True
114000,0,1798.0,160.0,5,15,13.45883704259595,0.007953281423804227,False,False,True,True,False,True
48000,0,1172.0,65.0,5,15,12.611541086966115,0.01348122866894198,False,False,True,True,False,True
32000,0,2179.0,155.0,7,6,14.346139397261565,0.006929784304726939,True,False,False,True,False,True
100000,0,1405.0,69.01,5,9,12.834683971615659,0.013587188612099644,True,False,False,True,False,True
150000,1,1582.0,126.32,5,12,13.165424782571753,0.014108723135271808,True,False,False,True,False,True
69000,0,1396.0,88.76,5,12,13.021437458814368,0.015687679083094555,True,False,False,True,False,True
100000,1,1798.0,138.1,5,16,12.611541086966115,0.008081201334816462,False,False,True,True,False,True
13000,0,998.0,67.04,5,5,13.07107218827772,0.02167334669338677,False,False,True,True,False,True
60000,0,1248.0,88.5,5,9,13.567050480716235,0.019471153846153846,True,False,False,True,False,True
40000,0,1197.0,83.14,5,8,13.296318365198623,0.017418546365914788,False,False,True,True,False,True
35000,0,998.0,67.04,5,8,12.994532278619134,0.020551102204408818,False,False,True,True,False,True
70000,2,1461.0,83.8,5,11,12.899222326086994,0.013997262149212868,True,False,False,True,False,True
50000,0,1582.0,126.2,5,9,13.946539697563276,0.012433628318584073,True,False,False,True,False,True
76139,0,1498.0,98.96,5,8,13.652992804936396,0.015353805073431242,True,False,False,True,False,True
175000,3,1248.0,73.9,5,13,12.821260987319457,0.01546474358974359,True,False,False,True,False,True
25000,0,999.0,67.0,5,7,12.765691290604371,0.023033033033033036,False,False,True,True,False,True
40000,1,998.0,67.04,5,10,12.793862088206213,0.02314629258517034,False,False,True,True,False,True
65000,3,796.0,46.3,5,17,11.561725152903833,0.024748743718592963,False,False,True,True,False,True
90000,1,1248.0,88.76,7,12,13.345508528717259,0.016642628205128206,True,False,False,True,False,True
80000,1,1086.0,62.1,5,16,11.813037464800539,0.016500920810313076,False,False,True,True,False,True
110000,1,1248.0,88.76,7,10,13.45883704259595,0.016642628205128206,True,False,False,True,False,True
1303,0,1198.0,86.7,5,6,13.444448325847754,0.014858096828046745,False,False,True,False,False,True
31800,0,1968.0,188.0,5,7,15.195535557642865,0.00864329268292683,True,False,False,False,False,False
20000,0,2487.0,214.56,5,6,15.454507466814658,0.008994772818657017,False,False,True,False,False,False
45000,0,1999.0,177.0,5,8,14.978661680269907,0.00966983491745873,True,False,False,False,False,False
17000,0,3604.0,280.0,5,8,15.226497775576945,0.0026359600443951166,False,False,True,True,False,False
21000,0,1999.0,148.31,7,6,15.319588176962746,0.006418209104552276,True,False,False,False,False,False
37000,0,2987.0,254.79,5,8,15.607270193858982,0.004519584867760294,True,False,False,False,False,False
29500,0,1995.0,187.74,5,7,15.147876840910817,0.011268170426065163,True,False,False,False,False,False
7500,0,1995.0,190.0,5,6,15.573368647930426,0.008411027568922307,True,False,False,False,False,False
50000,0,1798.0,177.46,5,7,14.438771611060053,0.008159065628476084,False,False,True,False,False,False
35000,0,2143.0,204.0,5,9,14.80876270134486,0.006999533364442371,True,False,False,False,False,False
19000,0,1451.0,141.0,5,6,14.375126917328105,0.009620951068228809,False,False,True,False,False,False
41000,0,1497.0,117.6,5,8,13.586098651497313,0.012024048096192385,False,False,True,False,False,False
39000,0,1798.0,138.03,5,12,13.345508528717259,0.007942157953281423,False,False,True,False,False,False
22000,0,1969.0,190.0,5,7,15.039286283703994,0.009141696292534281,True,False,False,False,False,False
53000,0,2967.0,241.4,7,10,14.790070575320824,0.0040680822379507925,True,False,False,False,False,False
40000,0,1248.0,88.5,5,10,13.190023895035274,0.021001602564102564,True,False,False,False,False,True
47000,0,2987.0,282.0,5,8,15.581952390148196,0.004519584867760294,True,False,False,False,False,False
72200,1,2497.0,150.0,5,15,13.790193775620484,0.004325190228273929,False,False,True,False,False,False
49900,0,1797.0,147.5,5,9,13.598598798635953,0.009070673344462994,False,False,True,False,False,True
9000,0,1999.0,177.0,5,8,14.78059183496017,0.006803401700850425,True,False,False,False,False,False
11000,0,1198.0,108.5,5,7,13.606024566142413,0.014190317195325543,False,False,True,False,False,True
49000,0,1598.0,103.6,5,14,12.834683971615659,0.009411764705882352,False,False,True,True,False,True
95000,0,1797.0,147.5,5,13,13.217675375388819,0.009070673344462994,False,False,True,True,False,True
11000,0,1598.0,103.5,5,9,13.377007146164305,0.008948685857321653,False,False,True,False,False,False
18000,0,1991.0,183.0,5,7,14.751604309291395,0.007553992968357609,False,False,True,False,False,False
46100,0,1373.0,93.7,7,11,13.303018546545275,0.011667880553532411,False,False,True,False,False,True
16000,0,1991.0,181.04,5,8,14.80876270134486,0.007403314917127072,False,False,True,False,False,False
18000,0,1497.0,116.3,5,8,13.681980308196241,0.010420841683366733,False,False,True,False,False,False
9654,0,1197.0,81.8,5,6,13.704578997256993,0.016340852130325812,False,False,True,False,False,False
11000,0,998.0,67.05,5,14,12.07254696717504,0.02399799599198397,False,False,True,False,False,True
24300,0,1197.0,81.8,5,13,12.73670383776449,0.017719298245614037,False,False,True,False,False,True
42163,1,2755.0,171.5,7,9,14.23750562376114,0.004123411978221416,True,False,False,False,False,False
8000,0,1497.0,108.5,5,7,13.840204146163925,0.014362057448229793,True,False,False,False,False,False
30000,0,1995.0,190.0,5,9,14.580978865220017,0.0113734335839599,True,False,False,False,False,False
41000,0,2494.0,157.7,5,9,14.45736497045232,0.007682437850842021,False,False,True,False,False,False
12000,0,1995.0,190.0,5,9,14.88022163978423,0.009082706766917293,True,False,False,False,False,False
71000,0,2362.0,164.7,5,16,13.017005083966255,0.0051227773073666385,False,False,True,False,False,False
20000,0,1373.0,91.1,7,9,13.652992804936396,0.012745812090313183,False,False,True,True,False,True
30000,0,1969.0,400.0,4,8,16.118095750958314,0.02133062468257999,False,False,True,True,False,False
100000,1,1598.0,103.6,5,14,12.611541086966115,0.012853566958698373,True,False,False,True,False,True
9500,0,1196.0,86.8,5,7,13.26212705890841,0.015183946488294315,False,False,True,True,False,True
120000,0,1399.0,68.0,5,14,11.982935344196433,0.014295925661186561,True,False,False,True,False,True
36600,0,1197.0,81.8,5,10,13.151924121391561,0.017042606516290727,False,False,True,True,False,True
50000,1,998.0,67.0,5,10,12.873904582205107,0.020551102204408818,False,False,True,True,False,False
14000,1,1197.0,81.83,5,9,13.217675375388819,0.015538847117794487,False,False,True,True,False,True
40000,1,796.0,37.0,4,26,10.596659732783579,0.020226130653266332,False,False,True,True,False,True
120000,0,1248.0,73.9,5,15,12.301387370778713,0.016907051282051284,True,False,False,True,False,True
70000,0,1197.0,82.0,5,10,12.959846800844963,0.015789473684210527,False,False,True,True,False,True
13000,0,999.0,75.0,5,6,13.081543466215237,0.019459459459459462,False,False,True,True,False,True
60000,1,1197.0,82.0,5,11,12.899222326086994,0.015789473684210527,False,False,True,True,False,True
35000,0,1197.0,85.8,5,11,13.096021455450709,0.01595655806182122,False,False,True,True,False,True
44000,1,1197.0,82.0,5,9,12.863595239117187,0.01595655806182122,False,False,True,True,False,True
120000,1,1493.0,100.0,5,20,11.51293546492023,0.008707300736771601,False,False,True,True,False,True
60000,0,1364.0,87.2,5,15,12.611541086966115,0.015711143695014664,True,False,False,True,False,True
60000,0,796.0,53.0,5,25,11.51293546492023,0.023241206030150754,False,False,True,True,False,True
30000,1,2982.0,168.5,7,11,14.375126917328105,0.004359490274983233,True,False,False,True,False,True
15000,1,1198.0,82.0,6,9,13.017005083966255,0.015150250417362269,False,False,True,True,False,True
90000,0,1248.0,74.0,5,8,13.102162710901053,0.018389423076923078,True,False,False,True,False,True
47000,1,1497.0,118.0,5,16,12.75130259456002,0.011356045424181697,False,False,True,True,False,True
90000,0,993.0,60.0,5,20,11.350418300109132,0.01742195367573011,False,False,True,True,False,True
120600,1,998.0,67.1,5,15,12.278397958261774,0.018937875751503006,False,False,True,True,False,True
100000,2,1599.0,103.2,5,15,12.676079399771027,0.010131332082551594,False,False,True,True,False,True
60000,1,1197.0,83.14,5,9,13.038981768465277,0.017418546365914788,False,False,True,True,False,True
86000,0,1341.0,83.0,5,20,11.082157933374816,0.011409395973154364,False,False,True,True,False,True
5000,0,1197.0,81.86,5,5,13.487007879880162,0.015538847117794487,False,False,True,True,False,True
37000,0,1248.0,88.5,5,8,13.592368256649284,0.02250801282051282,True,False,False,True,False,True
14000,0,1199.0,84.0,5,6,13.161586013632684,0.01693077564637198,False,False,True,True,False,True
70000,0,1248.0,88.76,7,10,13.270785106659046,0.016642628205128206,True,False,False,True,False,True
50000,0,1497.0,117.3,5,10,13.304686600863562,0.011623246492985972,False,False,True,True,False,True
60000,1,1198.0,86.8,5,11,12.577639650232573,0.016193656093489148,False,False,True,True,False,True
50000,0,998.0,58.16,5,9,12.793862088206213,0.026653306613226454,False,False,False,True,False,True
50000,0,1197.0,83.14,5,8,13.217675375388819,0.017418546365914788,False,False,True,True,False,True
70000,0,1197.0,82.85,5,12,12.834683971615659,0.015455304928989139,False,False,True,True,False,True
35000,0,998.0,67.0,5,7,12.948012371209098,0.020551102204408818,False,False,True,True,False,False
20000,0,1197.0,81.8,5,8,13.217675375388819,0.017719298245614037,False,False,True,True,False,True
20000,0,796.0,47.3,5,7,12.506180941677357,0.031030150753768842,False,False,True,True,False,True
7800,0,1197.0,81.8,5,7,13.45883704259595,0.018379281537176273,False,False,True,True,False,False
20000,0,1197.0,81.8,5,8,13.122365377402328,0.017042606516290727,False,False,True,True,False,True
15000,0,2179.0,147.94,7,6,14.038654909278163,0.008077099586966499,True,False,False,True,False,True
31377,1,1197.0,82.85,5,12,12.676079399771027,0.015455304928989139,False,False,True,True,False,True
50000,0,1248.0,74.02,5,7,13.45883704259595,0.022756410256410255,True,False,False,True,False,True
60000,0,998.0,67.04,5,10,12.577639650232573,0.020551102204408818,False,False,True,True,False,True
100000,0,1794.0,138.1,5,13,13.217675375388819,0.008099219620958751,False,False,True,True,False,False
60000,0,1198.0,86.8,5,13,12.487488878546145,0.016193656093489148,False,False,True,True,False,True
5000,0,1197.0,83.1,5,7,13.629182184591333,0.017878028404344194,False,False,True,True,False,False
60000,0,2179.0,147.94,7,8,13.592368256649284,0.006470858191831115,True,False,False,True,False,True
25000,1,796.0,46.3,5,14,11.982935344196433,0.024748743718592963,False,False,True,True,False,True
30000,0,799.0,53.3,5,7,12.721888795877375,0.03150187734668335,False,False,True,True,False,True
80000,1,1198.0,67.0,5,8,12.703816069256568,0.017220367278797995,False,False,True,True,False,True
75000,0,1248.0,88.5,5,8,13.560619598657233,0.019471153846153846,True,False,False,True,False,True
32000,0,1197.0,81.86,5,5,13.169248871698304,0.016825396825396827,False,False,True,True,False,True
40000,0,796.0,47.3,5,10,12.409017571151187,0.028567839195979897,False,False,True,True,False,True
93000,1,1197.0,80.0,5,13,12.524530013005734,0.014202172096908938,False,False,True,True,False,True
60000,0,1193.0,88.7,5,7,13.161586013632684,0.014727577535624476,False,False,True,True,False,True
37000,0,1498.0,97.7,5,11,13.217675375388819,0.011315086782376502,False,False,True,True,False,True
15000,0,1497.0,121.36,5,7,13.721200977393528,0.011356045424181697,False,False,True,True,False,True
80000,0,1198.0,67.04,5,10,12.611541086966115,0.01626878130217028,False,False,True,True,False,True
140000,0,998.0,67.04,5,9,12.765691290604371,0.020551102204408818,False,False,True,True,False,True
70000,0,2696.0,162.0,7,12,13.710151153416941,0.004758902077151335,True,False,False,True,False,True
120000,1,1493.0,100.0,7,12,12.611541086966115,0.011527126590756866,True,False,False,True,False,True
110000,1,1248.0,73.9,5,15,12.429220196836383,0.016907051282051284,True,False,False,True,False,True
37000,0,1582.0,126.2,5,8,13.910821646859095,0.012433628318584073,True,False,False,True,False,True
44000,0,799.0,53.3,5,9,12.506180941677357,0.03150187734668335,False,False,True,True,False,True
80000,0,1248.0,88.76,7,10,13.369225017834633,0.016642628205128206,True,False,False,True,False,True
125000,0,2179.0,140.0,7,10,13.384729180332174,0.006929784304726939,True,False,False,True,False,True
13500,0,1196.0,73.0,5,8,12.92391243868049,0.012851170568561871,False,False,True,True,False,True
75000,0,1086.0,62.1,5,14,12.013706813470414,0.016500920810313076,False,False,True,True,False,True
120000,1,1495.0,94.0,5,18,11.289794413577894,0.00882943143812709,False,False,True,True,False,True
120000,0,2179.0,140.0,7,13,13.190023895035274,0.006929784304726939,True,False,False,True,False,True
70000,0,2494.0,100.57,7,12,13.45883704259595,0.00520850040096231,True,False,False,True,False,True
70000,0,1248.0,74.0,5,12,13.217675375388819,0.01875,True,False,False,True,False,True
15000,0,1199.0,88.76,5,6,13.429849547739444,0.0158465387823186,False,False,True,True,False,False
53000,1,1197.0,78.9,5,16,12.206077645517674,0.01700918964076859,False,False,True,True,False,True
120000,1,1248.0,74.0,5,11,13.122365377402328,0.01875,True,False,False,True,False,True
70000,0,1248.0,88.5,7,9,13.815511557963774,0.019647435897435898,True,False,False,True,False,True
120000,1,1341.0,82.9,5,17,11.608244735642321,0.01058911260253542,False,False,True,True,False,True
100000,1,1197.0,80.0,5,13,12.676079399771027,0.015455304928989139,False,False,True,True,False,True
100000,0,1197.0,83.11,5,10,12.765691290604371,0.017042606516290727,False,False,True,True,False,True
162500,0,1405.0,70.0,5,12,12.04355959836804,0.01380782918149466,True,False,False,True,False,True
39000,0,1396.0,88.73,5,8,13.592368256649284,0.01614613180515759,True,False,False,True,False,True
75000,0,1248.0,74.0,5,8,13.122365377402328,0.021474358974358974,True,False,False,True,False,True
50000,0,2179.0,153.86,7,8,14.137594781770806,0.008077099586966499,True,False,False,True,False,False
40000,0,1497.0,121.0,8,6,14.077875591662238,0.011556446225784904,True,False,False,True,False,True
92500,0,1582.0,126.3,5,12,13.180634172318978,0.014108723135271808,True,False,False,True,False,True
158000,0,1248.0,74.0,5,13,12.793862088206213,0.01875,True,False,False,True,False,True
120000,0,1248.0,73.9,5,13,12.644330802262578,0.01546474358974359,True,False,False,True,False,True
50000,1,1498.0,98.6,5,10,13.493928313146206,0.017356475300400534,True,False,False,True,False,True
110000,0,1248.0,73.9,5,13,12.73670383776449,0.01546474358974359,True,False,False,True,False,True
2000,1,1186.0,73.97,5,8,13.217675375388819,0.02141652613827993,True,False,False,True,False,True
181000,1,2982.0,171.0,7,14,13.955273369904273,0.0038564721663313212,True,False,False,True,False,True
70000,0,1047.0,69.0,5,9,12.847929163278053,0.026055396370582618,True,False,False,True,False,True
90000,1,1498.0,99.6,5,12,12.765691290604371,0.011995994659546061,False,False,True,True,False,False
2000,0,1197.0,81.86,5,6,13.321215875492413,0.015538847117794487,False,False,True,True,False,True
20000,0,1197.0,83.14,5,10,13.171155446333852,0.017418546365914788,False,False,True,True,False,True
120000,0,2494.0,102.0,7,14,13.081543466215237,0.005132317562149158,True,False,False,True,False,True
35000,0,2498.0,105.0,6,8,13.567050480716235,0.006625300240192154,True,False,False,True,False,True
193000,0,1248.0,73.9,5,13,12.676079399771027,0.01546474358974359,True,False,False,True,False,True
80000,0,1197.0,81.8,5,11,12.834683971615659,0.017042606516290727,False,False,True,True,False,True
40000,0,1198.0,67.05,5,6,12.611541086966115,0.015876460767946576,False,False,True,True,False,True
70000,3,1396.0,88.73,5,10,13.122365377402328,0.01614613180515759,True,False,False,True,False,True
122358,0,2179.0,120.0,9,14,12.90917263218775,0.005530059660394677,True,False,False,True,False,True
75000,0,2956.0,69.01,7,10,13.122365377402328,0.004759810554803789,True,False,False,True,False,True
120000,0,1047.0,69.0,5,8,12.765691290604371,0.026055396370582618,True,False,False,True,False,True
40000,0,1193.0,88.7,5,10,12.847929163278053,0.014727577535624476,False,False,True,True,False,True
95200,2,1495.0,94.0,5,17,11.652687407345388,0.00882943143812709,False,False,True,True,False,True
33033,0,1198.0,86.8,5,11,12.721888795877375,0.016193656093489148,False,False,True,False,False,True
63063,0,1197.0,82.0,5,10,13.049794835104816,0.015789473684210527,False,False,True,False,False,False
60000,0,1248.0,88.76,5,13,12.577639650232573,0.016842948717948718,True,False,False,True,False,True
45000,1,796.0,46.3,5,20,11.608244735642321,0.024748743718592963,False,False,True,True,False,True
80000,2,2179.0,138.1,7,14,13.017005083966255,0.005309775126204681,True,False,False,True,False,True
170000,1,2523.0,63.0,7,16,12.899222326086994,0.005390408244153785,True,False,False,True,False,True
207890,1,2523.0,63.0,7,18,12.25486757159303,0.005390408244153785,True,False,False,True,False,True
7976,0,2143.0,170.0,5,7,15.341567078850604,0.008352776481567894,True,False,False,True,False,False
35000,0,796.0,34.2,8,9,12.301387370778713,0.021105527638190957,False,False,True,True,False,True
35000,0,1197.0,82.0,5,8,13.017005083966255,0.015789473684210527,False,False,True,True,False,True
50000,0,1197.0,78.9,5,12,12.577639650232573,0.014160401002506266,False,False,True,True,False,False
20000,0,1197.0,81.8,5,9,13.161586013632684,0.017042606516290727,False,False,True,True,False,True
20000,0,1197.0,78.9,5,14,12.487488878546145,0.014160401002506266,False,False,True,True,False,False
50000,1,1197.0,85.8,5,13,12.706850963741102,0.015538847117794487,False,False,True,True,False,True
120000,0,2523.0,62.1,7,11,13.142166004700508,0.006325802615933413,True,False,False,True,False,True
70000,0,1591.0,121.3,5,11,13.122365377402328,0.010747957259585168,False,False,True,True,False,True
50000,0,1197.0,81.86,5,10,13.171155446333852,0.014360902255639098,False,False,True,True,False,True
16500,0,1197.0,81.8,5,6,13.42246945133505,0.017552213868003343,False,False,True,True,False,True
70000,0,1197.0,80.0,5,15,12.611541086966115,0.014202172096908938,False,False,True,True,False,True
99361,1,796.0,46.3,5,20,11.407576060361786,0.024748743718592963,False,False,True,True,False,True
25000,0,1248.0,74.0,5,8,13.384729180332174,0.021306089743589742,True,False,False,True,False,True
70000,1,1197.0,85.8,5,11,12.921472880009725,0.01595655806182122,False,False,True,True,False,True
80000,1,1120.0,70.0,5,10,12.886643575525625,0.02142857142857143,True,False,False,True,False,True
70000,1,1197.0,85.8,5,11,12.899222326086994,0.01595655806182122,False,False,True,True,False,True
